value	user	eucast
0.002	7	129
0.004	25	989
0.008	114	8654
<0.016	3	0
0.016	3922	12038
0.03	0	5537
0.032	544	0
0.06	0	4082
0.064	432	0
0.125	227	3314
0.25	74	765
0.5	12	60
1	0	1
2	1	12
4	0	1
