value	user	eucast
0.001	7	0
0.002	690	5324
0.004	632	9855
0.008	587	10769
0.016	2609	9171
0.03	0	7624
0.032	506	0
0.06	0	3866
0.064	264	0
0.125	61	1212
0.25	1	66
0.5	1	9
1	0	5
2	0	2
