value	user	eucast
0.002	516	4807
0.004	598	11798
0.008	155	3106
0.016	849	1073
0.03	0	293
0.032	114	0
0.06	0	117
0.064	190	0
0.125	11	256
0.25	68	352
0.5	187	392
1	276	939
2	468	2726
4	600	7822
8	351	8776
16	203	5855
32	439	1810
64	0	76
128	0	6
256	0	39
