AMRFP_subclass	ab	drug_class	drug_agent
FOSMIDOMYCIN	FMD	Other antibacterials	Fosmidomycin
FUSIDIC ACID	FUS	Other antibacterials	Fusidic acid
METRONIDAZOLE	MTR	Other antibacterials	Metronidazole
MUPIROCIN	MUP	Other antibacterials	Mupirocin
NARASIN	NAR	Other antibacterials	Narasin
NITROFURANTOIN	NIT	Other antibacterials	Nitrofurantoin
PAROMOMYCIN	PAR	Other antibacterials	Paromomycin
PULVOMYCIN	FLA	Other antibacterials	Pulvomycin
RETAPAMULIN	RTP	Other antibacterials	Retapamulin
RIFAXIMIN	RFX	Other antibacterials	Rifaximin
SALINOMYCIN	SAL	Other antibacterials	Salinomycin
SPECTINOMYCIN	SPT	Other antibacterials	Spectinomycin
SULFONAMIDE	SSS	Other antibacterials	Sulfonamide
THIOSTREPTON	THS	Other antibacterials	Thiostrepton
TIAMULIN	TIA	Other antibacterials	Tiamulin
OSTREOGRYCIN	VIR	Streptogramins	Virginiamycine
MADURAMICIN	GEN	Other antiprotozoals	Maduramicin
NITROIMIDAZOLE	CTR	Other antiprotozoals	Nitromidazole
LINEZOLID	LNZ	Oxazolidinones	Linezolid
TEDIZOLID	TZD	Oxazolidinones	Tedizolid
TETRACYCLINES	DOX	"Phenicol, Oxazolidinone, Tetracycline"	Doxycycline
PLEUROMUTILIN	LMU	Pleuromutilins	Pleuromutilin
COLISTIN	COL	Polymyxins	Colistin
NALIDIXIC ACID	NAL	Quinolones	Nalidixic acid
NITROXOLINE	NTR	Quinolones	Nitroxoline
STREPTOGRAMINS	QDA	"Streptogramin A, Streptogramin B"	Quinupristin-Dalfopristin
TETRACYCLINES	MNO	Tetracycline	Minocycline
FLUOROQUINOLONES	NEM	Tetracycline	unknown
TETRACENOMYCIN	TLT	Other antibacterials	Tetracenomycin
TIGECYCLINE	TGC	Tetracyclines	Tigecycline
TRIMETHOPRIM-SULFAMETHOXAZOLE	SXT	Trimethoprims	Trimethoprim/sulfamethoxazole
ZOLIFLODACIN	ZFD	NA	Zoliflodacin
